driver_id,total_fare,avg_distance
31,76.17,30.36
85,71.92,26.12
76,126.09,12.47
26,46.52,36.82
91,44.07,42.6
22,27.47,10.46
13,78.38,5.14
16,20.17,23.75
94,188.49,6.09
64,125.7,23.17
43,188.76999999999998,8.585
37,25.42,12.3
61,165.42,35.230000000000004
88,99.42,18.44
17,13.68,29.57
59,43.81,33.54
4,17.17,35.86
49,24.77,26.64
7,330.15999999999997,18.669999999999998
84,87.26,6.45
97,139.85,12.85
45,112.8,42.67
82,124.53,39.15
25,112.85,45.11
24,83.8,19.66
32,243.39999999999998,32.29
58,115.7,48.2
11,163.95,34.125
68,146.59,6.53
71,103.78,24.04
2,108.34,27.46
79,22.47,21.94
66,105.71,4.84
74,147.62,29.935000000000002
